problem,parameter,parameter_cn,perturbation,drying_time_h,change_percent,elasticity
3,D,水分扩散系数,-0.015,58.25478742586366,1.3465370511590558,-0.8976913674393705
3,D,水分扩散系数,0.015,56.730199603315214,-1.3058062681310054,-0.870537512087337
3,hm,表面对流传质系数,-0.015,57.57971346442901,0.17210296139643194,-0.1147353075976213
3,hm,表面对流传质系数,0.015,57.385386608700756,-0.16596974909388543,-0.11064649939592362
3,h,表面对流换热系数,-0.015,57.4819829437208,0.002080028078055979,-0.0013866853853706526
3,h,表面对流换热系数,0.015,57.479627743497986,-0.0020173413776005235,-0.0013448942517336824
3,R,半径尺度,-0.015,55.86952605726094,-2.803130132459716,1.8687534216398107
3,R,半径尺度,0.015,59.1154359129584,2.8438173201219024,1.8958782134146015
4,D,水分扩散系数,-0.015,51.776284313106096,1.339790532490389,-0.8931936883269259
4,D,水分扩散系数,0.015,50.42774863740123,-1.2996480582570125,-0.8664320388380083
4,hm,表面对流传质系数,-0.015,51.13029892252864,0.07542741650684757,-0.05028494433789838
4,hm,表面对流传质系数,0.015,51.0547950457942,-0.07235350586270195,-0.048235670575134636
4,h,表面对流换热系数,-0.015,51.09285793384309,0.0021455655386015417,-0.001430377025734361
4,h,表面对流换热系数,0.015,51.09070277621524,-0.002072644119906919,-0.0013817627466046125
4,R,半径尺度,-0.015,49.714432206927206,-2.6957957078349337,1.7971971385566226
4,R,半径尺度,0.015,52.489562963564985,2.7358642366535166,1.8239094911023443
